Y;X1;X2;X3
57448380;965;363;164
55054296;522;799;132
8524320;86;140;708
192295620;327;990;594
19078983;513;69;539
171841144;428;734;547
4573632;574;664;12
439280;85;152;34
80099344;472;214;793
10016640;36;592;470
367611300;413;900;989
13987818;23;897;678
43140944;722;88;679
140788032;704;321;623
299297340;606;815;606
81593980;247;796;415
43413420;345;652;193
110526;338;327;1
3936834;9;674;649
83384448;224;804;463
163968000;500;672;488
157954344;408;467;829
13806288;648;134;159
181732320;605;336;894
91115010;378;485;497
152363565;311;513;955
56156892;583;276;349
383831168;904;952;446
18748800;775;48;504
79685760;539;231;640
64561104;612;708;149
6897750;85;541;150
277386412;634;566;773
203604940;679;319;940
161378250;631;341;750
430717232;853;604;836
184862250;675;306;895
27122186;637;122;349
38964027;521;257;291
99421344;951;144;726
87039864;612;799;178
8486478;117;231;314
258596712;556;783;594
78965964;934;549;154
10883250;691;450;35
36479373;133;777;353
88769512;767;184;629
108258176;712;208;731
236688704;296;872;917
333701940;437;780;979
103162208;236;808;541
78083904;708;113;976
29021850;429;615;110
483160348;836;659;877
53796276;681;348;227
18478677;813;119;191
801965736;949;968;873
33543168;244;179;768
17912832;56;672;476
62558496;616;252;403
134719200;350;396;972
1470560;707;130;16
83659328;283;992;298
59154084;303;319;612
4060800;94;120;360
147452400;333;720;615
190194565;373;635;803
131400360;735;468;382
3367980;135;42;594
400456408;913;872;503
264286770;691;915;418
1507896;78;108;179
53469792;636;744;113
145787180;770;691;274
51116832;738;104;666
603797730;795;947;802
26423250;70;525;719
55296384;318;286;608
70883232;313;674;336
8918080;145;961;64
17037020;185;506;182
1758900;123;50;286
281240640;645;576;757
52233762;413;394;321
3416608;191;559;32
37148800;520;380;188
65763984;676;201;484
177782272;256;713;974
445918500;765;804;725
311938074;591;994;531
31749000;557;250;228
227335680;276;960;858
12659790;227;330;169
8776644;43;438;466
22386;82;273;1
98741916;567;221;788
82208280;385;328;651
573422850;819;737;950
375503310;837;595;754
155496816;681;536;426
15130500;393;125;308
438614496;498;933;944
240663951;453;561;947
17889536;128;298;469
381780;101;210;18
48375900;621;820;95
27845184;898;34;912
86810625;253;549;625
735041;131;181;31
